apmcName;latitute;longitude
Rahuri(Vambori);19.2988489;74.6851893;
Vaijpur;19.9256818;74.7284812;
Amalner;Dound;18.463056;74.578889;
Khamgaon;Suragana;19.7514798;75.7138884;
Palam;19.0099974;76.9499028;
Vani;Varud;Varud(Rajura Bazar);21.4639949;78.2704378;
Ahmednagar;19.0952075;74.7495916;
Vaduj;17.593548;74.4510972;
Nandurbar;21.3755507;74.2427644;
Pusad;19.9104257;77.568649;
Chimur;20.4952254;79.3718986;
Washim;Patan;Shahapur;19.45;73.33;
Karjat;Gevrai;19.2605814;75.754592;
Ratnagiri (Nachane);16.985121;73.3423746;
Barshi(Vairag);18.0711622;75.7917391;
Nagbhid;20.6399876;79.6407366;
Vai;20.0848733;78.6267518;
Bhokardan;20.2590232;75.7697582;
Pimpalgaon;Gangapur;Jalna(Badnapur);19.8682398;75.7256331;
Sangrampur(Varvatbakal);19.7514798;75.7138884;
Gondiya;21.4598;80.195;
Yeotmal;20.3887937;78.1204073;
Akkalkot;17.5242162;76.2054416;
Palus;17.097643;74.4496317;
Aatpadi;17.4287331;74.9383153;
Kaij;18.714236;76.0643777;
Vita;Kalvan;18.2913574;73.2735875;
Tuljapur;18.010037;76.0710681;
Malkapur;Patur;20.46;76.94;
Ner Parasopant;Vadgaonpeth;20.0848733;78.6267518;
Jaysingpur;16.7812047;74.5523643;
Karanja;Ramtek;21.4;79.33;
Dindori;Taloda;21.5628085;74.2135303;
Sangamner;19.5771387;74.2079648;
Savali;Mahad;Balapur;Bori Arab;Akkalkuwa;21.5613911;74.2010379;
Paranda;Chandrapur(Ganjwad);19.7514798;75.7138884;
Bodwad;20.901904;76.0174308;
Korpana;19.7391741;78.9903285;
Nanded;19.149722;77.333056;
Sindi(Selu);19.7514798;75.7138884;
Kandhar;18.8736949;77.1873371;
Yawal;21.168089;75.6991717;
Gangakhed;18.9663544;76.7480805;
Jalkot;18.629167;77.181111;
Lakhandur;20.75;79.883333;
Navapur;Junnar(Otur);19.2107716;73.8837514;
Junnar(Alephata);19.1770234;74.1103235;
Purna;19.1790258;77.030539;
Junnar(Narayangaon);19.1279479;73.9642403;
Sakri;20.9926045;74.3140742;
Kurdwadi(Modnimb);19.7514798;75.7138884;
Umared;20.2928626;78.6824194;
Ghansawangi;19.5231209;75.9869609;
Sangrampur;21.03;76.68;
Mohol;17.802867;75.6454727;
Chikali;Dudhani;17.3585392;76.3680696;
Tadkalas;19.1304526;76.9427006;
Khed(Chakan);18.8502174;73.8871161;
Kannad;20.27;75.13;
Mudkhed;19.144722;77.4988753;
Mukhed;18.700806;77.362847;
Deglur;18.5458672;77.5762703;
Nandura;20.833333;76.459722;
Sillod;20.3079382;75.6528116;
Mantha;19.6514218;76.389463;
Sillod(Bharadi);20.3110023;75.6521332;
Nira;18.1021612;74.2119388;
Himalyatnagar;18.4159943;76.599397;
Mahur;Khalanpur;18.8305523;73.2846445;
Murtizapur;20.7296406;77.3678934;
Nira(Saswad);18.0563695;74.2925222;
Maregoan;Mangrulpeer;20.3148721;77.3419417;
Washi(Thane  Market);Indapur(Bhigwan);18.152023;74.5774258;
Khultabad;20.0181274;75.2646486;
Islampur;Aarni;20.073989;77.949258;
Akola;20.7059345;77.0219019;
Amalner;21.045414;75.061311;
Amgaon;21.3684301;80.3797834;
Anajngaon;21.16;77.31;
Armori(Desaiganj);20.6280701;80.0091362;
Babhulgaon;20.5561449;78.1664189;
Beed;18.9890893;75.7600785;
Bhokar;19.2209586;77.6701282;
Bori Arab;19.7514798;75.7138884;
Buldhana(Dhad);20.5265873;76.1695379;
Gangapur;19.6975252;75.0105028;
Ghoti;19.714821;73.6261059;
Indapur;18.12;75.03;
Islampur;17.0500326;74.2651752;
Kalamb;20.4451997;78.3244788;
Karanja;20.4833;77.4833;
Karjat;18.9192249;73.3277223;
Lakhani;21.0758596;79.8033249;
Loha;18.9473865;77.1154368;
Lonand;18.041706;74.1861821;
Malkapur;20.886483;76.2162709;
Mandhal;20.9551804;79.4577314;
Manora;20.2161135;77.559076;
Murud;18.331926;72.9608202;
Narkhed;21.471667;78.535;
Navapur;21.1616527;73.7946403;
Pandharpur;17.6745535;75.3237262;
Paranda;18.27;75.453333;
Parola;20.88;75.12;
Patan;17.37;73.9;
Pathari;19.2499989;76.7519976;
Satana;20.598224;74.2032581;
Savali;20.0648291;79.8016569;
Sengoan;19.7929498;76.8865085;
Sonpeth;19.0266967;76.4592007;
Telhara;21.03;76.84;
Vani;20.5056686;78.2860538;
Varud;21.466667;78.266667;
Vita;17.2751726;74.5357127;
